@relation 'pacmanKeyboard-weka.filters.unsupervised.attribute.Remove-R1-2,11-18,31-34'

@attribute goWest {T,F}
@attribute goEast {T,F}
@attribute goNorth {T,F}
@attribute goSouth {T,F}
@attribute ghost1 {T,F}
@attribute ghost2 {T,F}
@attribute ghost3 {T,F}
@attribute ghost4 {T,F}
@attribute disttoghost1 {0,1,2,3}
@attribute disttoghost2 {0,1,2,3}
@attribute disttoghost3 {0,1,2,3}
@attribute disttoghost4 {0,1,2,3}
@attribute direction_ghost1 {West,Stop,East,North,South}
@attribute direction_ghost2 {West,Stop,East,North,South}
@attribute direction_ghost3 {West,Stop,East,North,South}
@attribute direction_ghost4 {West,Stop,East,North,South}
@attribute best_dir_to_g1 {West,East,North,South,None}
@attribute best_dir_to_g2 {West,East,North,South,None}
@attribute best_dir_to_g3 {West,East,North,South,None}
@attribute best_dir_to_g4 {West,East,North,South,None}
@attribute direction {West,East,North,South}

@data
T,T,T,F,T,F,T,F,0,2,1,3,East,West,West,West,West,None,West,None,North
T,F,T,T,T,F,T,F,0,2,1,3,East,West,North,East,West,None,West,None,North
T,T,F,T,T,F,T,F,0,2,1,3,East,East,North,East,West,None,West,None,South
T,F,T,T,T,F,T,F,1,2,0,3,West,East,South,East,West,None,West,None,West
F,T,T,T,T,F,T,F,1,2,0,3,West,West,East,West,South,None,South,None,West
F,T,T,T,T,F,T,F,1,2,0,3,South,North,North,West,South,None,South,None,South
T,T,T,F,T,F,T,F,1,2,0,3,South,North,South,Stop,West,None,West,None,West
T,T,F,F,T,F,T,F,1,2,0,3,South,South,South,East,West,None,West,None,West
T,T,F,F,T,F,T,F,1,2,0,3,West,South,North,West,West,None,West,None,West
F,T,T,T,T,F,T,F,1,2,0,3,West,South,West,East,North,None,North,None,North
T,F,T,T,T,F,T,F,1,2,0,3,East,South,North,West,West,None,North,None,North
T,F,F,T,T,F,F,F,0,1,2,3,East,South,Stop,West,West,None,None,None,South
T,F,T,T,T,F,F,F,0,1,2,3,West,North,West,West,West,None,None,None,West
T,T,F,F,T,T,T,T,3,1,0,2,Stop,Stop,Stop,Stop,West,East,East,East,East
T,T,F,F,T,T,T,T,3,1,0,2,Stop,Stop,Stop,Stop,West,East,East,East,East
T,T,F,F,T,T,T,T,3,1,0,2,Stop,Stop,Stop,Stop,West,East,East,East,East
T,T,T,F,T,T,T,T,3,1,0,2,Stop,Stop,Stop,Stop,North,North,North,North,North
F,F,T,T,T,T,T,T,3,1,0,2,Stop,Stop,Stop,Stop,North,North,North,North,North
T,F,T,T,T,T,T,T,3,1,0,2,Stop,Stop,Stop,Stop,West,West,West,North,North
F,T,T,T,T,T,T,T,3,2,1,0,Stop,Stop,Stop,Stop,South,South,South,North,East
T,T,T,F,T,T,T,T,3,2,1,0,Stop,Stop,Stop,Stop,West,West,West,North,East
T,F,T,T,T,T,T,T,3,2,1,0,Stop,Stop,Stop,Stop,West,West,West,North,South
F,T,T,T,T,T,T,T,3,2,1,0,Stop,Stop,Stop,Stop,North,North,North,North,North
T,F,T,T,T,T,T,T,3,2,1,0,Stop,Stop,Stop,Stop,West,West,West,North,North
T,T,F,T,T,T,T,T,3,2,1,0,Stop,Stop,Stop,Stop,West,West,West,East,East
T,T,F,F,T,T,T,T,3,2,1,0,Stop,Stop,Stop,Stop,West,West,West,East,East
T,T,F,F,T,T,T,T,3,2,1,0,Stop,Stop,Stop,Stop,West,West,West,East,East
T,F,F,T,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,West,West,West,None,West
T,T,F,F,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,West,West,West,None,West
T,T,F,F,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,West,West,West,None,West
T,T,F,T,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,West,West,West,None,West
T,T,F,T,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,West,West,West,None,West
F,T,F,T,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,South,South,South,None,South
F,T,T,T,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,South,South,South,None,South
T,F,T,T,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,West,West,West,None,West
T,T,F,F,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,West,West,West,None,West
T,T,F,F,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,West,West,West,None,West
T,T,T,F,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,West,North,North,None,North
T,F,T,T,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,West,North,North,None,North
T,T,F,T,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,West,West,East,None,East
T,F,F,F,T,T,F,F,1,0,2,3,Stop,Stop,Stop,Stop,West,West,None,None,West
T,T,F,T,T,T,F,F,1,0,2,3,Stop,Stop,Stop,Stop,West,West,None,None,West
T,T,F,T,T,T,F,F,1,0,2,3,Stop,Stop,Stop,Stop,South,West,None,None,West
F,T,F,F,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,East,None,None,None,East
T,T,F,T,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,South,None,None,None,South
F,T,T,T,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,South,None,None,None,South
T,T,T,F,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,None,None,None,West
T,T,F,F,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,None,None,None,West
T,T,F,F,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,None,None,None,West
F,T,T,T,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,North,None,None,None,North
T,F,T,T,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,North,None,None,None,West
T,T,T,F,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,North,None,None,None,West
F,T,T,T,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,North,None,None,None,North
T,T,F,T,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,None,None,None,West
F,F,T,T,T,T,T,T,0,1,2,3,Stop,Stop,Stop,Stop,South,South,South,South,South
F,T,T,T,T,T,T,T,0,1,2,3,Stop,Stop,Stop,Stop,South,East,East,East,South
F,T,T,T,T,T,T,T,0,1,2,3,Stop,Stop,Stop,Stop,South,East,East,East,South
F,T,T,T,T,T,T,T,0,1,2,3,Stop,Stop,Stop,Stop,South,East,East,East,South
